fname,box11,box12,box21,box22,class,difficult,model_name
00001.jpg,112,7,853,717,0,0,AM General Hummer SUV 2000
00002.jpg,48,24,441,202,0,0,AM General Hummer SUV 2000
00003.jpg,7,4,277,180,0,0,AM General Hummer SUV 2000
00004.jpg,33,50,197,150,0,0,AM General Hummer SUV 2000
00005.jpg,5,8,83,58,0,0,AM General Hummer SUV 2000
00006.jpg,10,6,250,110,0,0,AM General Hummer SUV 2000
00007.jpg,56,1,394,176,0,0,AM General Hummer SUV 2000
00008.jpg,1,13,113,83,0,0,AM General Hummer SUV 2000
00009.jpg,15,111,271,272,0,0,AM General Hummer SUV 2000
00010.jpg,14,18,148,107,0,0,AM General Hummer SUV 2000
00011.jpg,5,8,91,59,0,0,AM General Hummer SUV 2000
00012.jpg,29,18,157,86,0,0,AM General Hummer SUV 2000
00013.jpg,1,1,300,179,0,0,AM General Hummer SUV 2000
00014.jpg,9,1,152,103,0,0,AM General Hummer SUV 2000
00015.jpg,4,15,94,63,0,0,AM General Hummer SUV 2000
00016.jpg,12,16,117,71,0,0,AM General Hummer SUV 2000
00017.jpg,1,5,160,89,0,0,AM General Hummer SUV 2000
00018.jpg,46,84,661,428,0,0,AM General Hummer SUV 2000
00019.jpg,86,81,371,252,0,0,AM General Hummer SUV 2000
00020.jpg,26,32,677,418,0,0,AM General Hummer SUV 2000
00021.jpg,50,127,587,396,0,0,AM General Hummer SUV 2000
00022.jpg,6,9,124,89,0,0,AM General Hummer SUV 2000
00023.jpg,52,25,751,507,0,0,AM General Hummer SUV 2000
00024.jpg,3,23,132,98,0,0,AM General Hummer SUV 2000
00025.jpg,60,76,593,393,0,0,AM General Hummer SUV 2000
00026.jpg,21,18,492,316,0,0,AM General Hummer SUV 2000
00027.jpg,11,31,490,266,0,0,AM General Hummer SUV 2000
00028.jpg,8,3,135,86,0,0,AM General Hummer SUV 2000
00029.jpg,30,65,331,199,0,0,AM General Hummer SUV 2000
00030.jpg,5,14,93,58,0,0,AM General Hummer SUV 2000
00031.jpg,125,645,1845,1421,0,0,AM General Hummer SUV 2000
00032.jpg,20,48,385,283,0,0,AM General Hummer SUV 2000
00033.jpg,51,73,570,426,0,0,AM General Hummer SUV 2000
00034.jpg,79,469,1537,1198,0,0,AM General Hummer SUV 2000
00035.jpg,18,18,328,190,0,0,AM General Hummer SUV 2000
