x1,y1,x2,y2,class,true_class_name,image,image_path,class_id
39,116,569,375,14,Audi TTS Coupe 2012,00001.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00001.jpg,0
36,116,868,587,3,Acura TL Sedan 2012,00002.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00002.jpg,1
85,109,601,381,91,Dodge Dakota Club Cab 2007,00003.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00003.jpg,2
621,393,1484,1096,134,Hyundai Sonata Hybrid Sedan 2012,00004.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00004.jpg,3
14,36,133,99,106,Ford F-450 Super Duty Crew Cab 2012,00005.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00005.jpg,4
259,289,515,416,123,Geo Metro Convertible 1993,00006.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00006.jpg,5
88,80,541,397,89,Dodge Journey SUV 2012,00007.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00007.jpg,6
73,79,591,410,96,Dodge Charger Sedan 2012,00008.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00008.jpg,7
20,126,1269,771,167,Mitsubishi Lancer Sedan 2012,00009.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00009.jpg,8
21,110,623,367,58,Chevrolet Traverse SUV 2012,00010.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00010.jpg,9
51,93,601,393,49,Buick Verano Sedan 2012,00011.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00011.jpg,10
6,62,499,286,186,Toyota Sequoia SUV 2012,00012.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00012.jpg,11
30,36,418,307,135,Hyundai Elantra Sedan 2007,00013.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00013.jpg,12
31,246,778,540,85,Dodge Caravan Minivan 1997,00014.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00014.jpg,13
32,77,589,379,193,Volvo C30 Hatchback 2012,00015.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00015.jpg,14
27,49,611,396,172,Plymouth Neon Coupe 1999,00016.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00016.jpg,15
39,52,233,150,14,Audi TTS Coupe 2012,00017.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00017.jpg,0
3,8,190,147,73,Chevrolet Malibu Sedan 2007,00018.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00018.jpg,16
247,287,1366,761,192,Volkswagen Beetle Hatchback 2012,00019.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00019.jpg,17
17,281,961,596,57,Chevrolet Corvette Ron Fellows Edition Z06 2007,00020.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00020.jpg,18
17,156,695,375,79,Chrysler 300 SRT-8 2010,00021.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00021.jpg,19
212,538,1893,1131,36,BMW M6 Convertible 2010,00022.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00022.jpg,20
11,28,476,234,120,GMC Yukon Hybrid SUV 2012,00023.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00023.jpg,21
53,126,973,621,170,Nissan Juke Hatchback 2012,00024.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00024.jpg,22
34,87,567,343,194,Volvo 240 Sedan 1993,00025.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00025.jpg,23
30,174,598,379,134,Hyundai Sonata Hybrid Sedan 2012,00026.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00026.jpg,3
80,107,606,336,184,Suzuki SX4 Sedan 2012,00027.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00027.jpg,24
